,Alpha Values,Threshold Values,F1 Score
0,0.85,2931962,0.5475925631654219
1,0.92,3424872,0.5014002191647389
2,0.89,3250255,0.5008416531228232
3,0.91,3178630,0.5014002191647389
4,0.86,3497666,0.5335548172757475
5,0.92,3207985,0.5014002191647389
6,0.86,3237358,0.5316222138020791
7,0.86,3473015,0.5335548172757475
8,0.87,3313988,0.5316222138020791
9,0.92,3042516,0.5014002191647389
10,0.88,3110800,0.5148955773955773
11,0.93,3457499,0.5014002191647389
12,0.89,3381488,0.5008416531228232
13,0.92,3470898,0.5014002191647389
14,0.92,3453303,0.5014002191647389
15,0.86,3453498,0.5335548172757475
16,0.85,3273097,0.5046098575801455
17,0.87,3236718,0.5316222138020791
18,0.82,3066075,0.5130738187321339
19,0.85,3210561,0.5046098575801455
20,0.87,3458992,0.5316222138020791
21,0.88,3138952,0.5148955773955773
22,0.87,3276364,0.5316222138020791
23,0.89,3497354,0.5008416531228232
24,0.92,3372053,0.5014002191647389
25,0.82,2947541,0.5130738187321339
26,0.91,3220507,0.5014002191647389
27,0.83,3491053,0.5130738187321339
28,0.86,3258999,0.5316222138020791
29,0.82,3105726,0.5130738187321339
30,0.87,3527274,0.5316222138020791
31,0.87,3215823,0.5316222138020791
32,0.91,3103838,0.5014002191647389
33,0.92,2970859,0.5014002191647389
34,0.83,3400327,0.5130738187321339
35,0.79,3409399,0.5015384615384615
36,0.83,3446453,0.5130738187321339
37,0.82,2910154,0.5130738187321339
38,0.83,3414075,0.5130738187321339
39,0.87,3317778,0.5316222138020791
40,0.79,3156677,0.5015384615384615
41,0.82,2938882,0.5130738187321339
42,0.83,3389351,0.5130738187321339
43,0.79,3166990,0.5015384615384615
44,0.83,3431300,0.5130738187321339
45,0.79,3196617,0.5015384615384615
46,0.92,2906877,0.5014002191647389
47,0.88,3034375,0.5148955773955773
48,0.91,3212347,0.5014002191647389
49,0.83,3519660,0.5130738187321339
50,0.87,3181480,0.5316222138020791
51,0.86,3513247,0.5335548172757475
52,0.82,2936395,0.5130738187321339
53,0.92,3298875,0.5014002191647389
54,0.86,3528606,0.5335548172757475
55,0.92,3266677,0.5014002191647389
56,0.87,3344250,0.5316222138020791
57,0.86,3041317,0.5316222138020791
58,0.87,3134544,0.5316222138020791
59,0.89,3506322,0.5008416531228232
60,0.92,3300617,0.5014002191647389
61,0.87,3461502,0.5316222138020791
62,0.85,2943971,0.5475925631654219
63,0.89,3336663,0.5008416531228232
64,0.88,3450699,0.5316222138020791
65,0.89,3306898,0.5008416531228232
66,0.87,3446604,0.5316222138020791
67,0.86,3186464,0.5316222138020791
68,0.78,2924116,0.5015384615384615
69,0.79,3312581,0.5015384615384615
70,0.82,3111167,0.5130738187321339
71,0.83,3416353,0.5130738187321339
72,0.86,3164840,0.5316222138020791
73,0.87,3015595,0.5316222138020791
74,0.86,3485290,0.5335548172757475
75,0.88,3156396,0.5148955773955773
76,0.89,3334542,0.5008416531228232
77,0.89,3521053,0.5008416531228232
78,0.83,3369594,0.5130738187321339
79,0.83,3307123,0.5130738187321339
80,0.78,2926980,0.5015384615384615
81,0.93,3487168,0.5014002191647389
82,0.79,3139838,0.5015384615384615
83,0.89,3468543,0.5008416531228232
84,0.82,3060052,0.5130738187321339
85,0.83,3410303,0.5130738187321339
86,0.92,3344405,0.5014002191647389
87,0.79,3516814,0.5015384615384615
88,0.86,2909340,0.5316222138020791
89,0.91,3054021,0.5014002191647389
90,0.92,2985413,0.5014002191647389
91,0.83,3350248,0.5130738187321339
92,0.89,3540771,0.5008416531228232
93,0.86,3171454,0.5316222138020791
94,0.93,3385981,0.5014002191647389
95,0.91,3397646,0.5014002191647389
96,0.92,2983019,0.5014002191647389
97,0.91,3043311,0.5014002191647389
98,0.87,3266707,0.5316222138020791
99,0.92,3357378,0.5014002191647389
100,0.92,2990362,0.5014002191647389
101,0.91,3265043,0.5014002191647389
102,0.93,3345807,0.5014002191647389
103,0.82,3020048,0.5130738187321339
104,0.93,3394336,0.5014002191647389
105,0.85,3233560,0.5046098575801455
