discussion_id,post_id,author_id,creation_date,parent_post_id,parent_missing,text_id,points,discussion_stance_id,response_type
878,3557,27083,5/7/2008 23:06,0,0,513135,-3,0,
878,3563,5901,5/8/2008 1:25,0,0,513160,-8,0,
878,3623,11010,5/8/2008 15:03,0,0,513211,11,1,
878,3627,27083,5/8/2008 15:21,3623,0,513212,8,0,disputed
878,3632,8705,5/8/2008 15:35,0,0,513276,4,1,
878,3634,8705,5/8/2008 15:41,3563,0,513161,3,1,disputed
878,3641,24659,5/8/2008 18:19,3557,0,513136,19,1,disputed
878,3645,3346,5/8/2008 18:56,3641,0,513137,8,1,supported
878,3662,27083,5/8/2008 19:41,3641,0,513146,0,0,disputed
878,3663,11470,5/8/2008 19:47,0,0,513171,20,1,
878,3669,24659,5/8/2008 20:09,3662,0,513147,2,0,disputed
878,3671,24659,5/8/2008 20:14,3627,0,513213,13,1,disputed
878,3678,27083,5/8/2008 20:42,3671,0,513214,4,0,supported
878,3701,5901,5/9/2008 3:02,3634,0,513166,0,0,disputed
878,3703,5901,5/9/2008 3:11,3663,0,513185,4,1,disputed
878,3708,27784,5/9/2008 3:57,3678,0,513215,1,1,disputed
878,3709,27784,5/9/2008 4:02,3703,0,513186,7,1,disputed
878,3711,27784,5/9/2008 4:12,3669,0,513148,1,1,supported
878,3716,17754,5/9/2008 6:42,3645,0,513139,0,1,supported
878,3722,24659,5/9/2008 7:59,3708,0,513216,3,0,supported
878,3723,24659,5/9/2008 8:01,3716,0,513142,0,0,disputed
878,3739,27083,5/9/2008 11:54,3708,0,513218,2,0,supported
878,3805,25206,5/11/2008 0:01,3703,0,513187,7,1,disputed
878,3810,5901,5/11/2008 2:22,3805,0,513189,0,1,disputed
878,3813,25206,5/11/2008 7:15,3810,0,513190,2,0,disputed
878,3850,26502,5/12/2008 16:38,0,0,513236,7,1,
878,3853,3346,5/12/2008 16:50,3716,0,513140,1,1,supported
878,3898,15952,5/12/2008 22:41,0,0,513132,-1,0,
878,3905,15215,5/13/2008 0:04,0,0,512958,1,0,
878,3937,17754,5/13/2008 2:49,3853,0,513141,0,1,supported
878,3952,19243,5/13/2008 4:23,3701,0,513167,1,0,disputed
878,3961,12647,5/13/2008 4:51,0,0,512963,1,0,
878,3963,12647,5/13/2008 4:52,0,0,513337,2,1,
878,3977,9123,5/13/2008 5:10,0,0,512968,1,0,
878,4010,18370,5/13/2008 5:44,0,0,513279,3,1,
878,4023,6954,5/13/2008 6:11,0,0,513239,6,1,
878,4028,7160,5/13/2008 6:27,4023,0,513240,6,0,disputed
878,4040,6954,5/13/2008 7:19,4028,0,513241,7,1,disputed
878,4054,20626,5/13/2008 7:39,0,0,513286,3,1,
878,4242,15857,5/13/2008 12:56,0,0,513229,8,1,
878,4313,11090,5/13/2008 13:56,0,0,513247,6,1,
878,4503,6003,5/13/2008 19:25,0,0,513340,2,1,
878,4710,28180,5/14/2008 11:38,3641,0,513143,5,0,disputed
878,4777,18867,5/14/2008 15:54,0,0,513341,2,1,
878,4866,12647,5/14/2008 21:32,4040,0,513242,1,1,disputed
878,4869,12647,5/14/2008 21:43,3632,0,513277,3,1,disputed
878,4877,10959,5/14/2008 22:02,0,0,513343,2,1,
878,4879,10959,5/14/2008 22:03,0,0,513344,2,1,
878,4929,16689,5/15/2008 2:02,3557,0,513150,1,1,disputed
878,4934,16689,5/15/2008 2:20,3627,0,513219,11,1,disputed
878,5018,27083,5/15/2008 11:25,4934,0,513220,1,0,supported
878,5282,16689,5/16/2008 3:21,3662,0,513149,2,0,disputed
878,5350,8596,5/16/2008 9:25,0,0,513155,-4,0,
878,5351,8596,5/16/2008 9:28,3623,0,513224,2,1,supported
878,5483,15074,5/16/2008 18:41,0,0,513345,2,1,
878,5700,11330,5/17/2008 0:23,0,0,513346,2,1,
878,5756,2049,5/17/2008 1:18,0,0,512969,1,0,
878,5792,17746,5/17/2008 2:08,3961,0,512964,1,0,disputed
878,5793,17746,5/17/2008 2:11,0,0,512887,10,0,
878,5796,17746,5/17/2008 2:14,3634,0,513162,3,0,disputed
878,5854,24037,5/17/2008 5:19,5700,0,513347,-1,1,disputed
878,6204,11330,5/18/2008 1:24,5854,0,513349,1,1,disputed
878,6285,12647,5/18/2008 13:18,5792,0,512966,1,0,disputed
878,7230,24659,5/23/2008 7:32,0,0,513206,14,1,
878,7433,16095,5/25/2008 9:51,4028,0,513243,5,1,disputed
878,8004,15409,5/30/2008 8:49,5854,0,513348,2,1,disputed
878,8008,15409,5/30/2008 9:12,5351,0,513225,7,1,disputed
878,10241,19132,6/20/2008 16:11,0,0,513237,7,1,
878,10247,28608,6/20/2008 16:31,3641,0,513144,4,0,disputed
878,10251,2140,6/20/2008 18:20,0,0,513209,13,1,
878,10481,8705,6/23/2008 17:26,4869,0,513278,4,0,disputed
878,10483,8705,6/23/2008 17:27,5756,0,512970,4,1,disputed
878,10486,8705,6/23/2008 17:31,5350,0,513158,1,1,disputed
878,10488,8705,6/23/2008 17:35,5796,0,513163,1,1,disputed
878,11100,28180,7/1/2008 15:54,4777,0,513342,-1,2,disputed
878,13218,24263,7/28/2008 19:43,7230,0,513207,6,0,disputed
878,14903,1931,8/15/2008 13:38,0,0,513238,7,6,
878,15093,27616,8/18/2008 2:20,0,0,512971,1,0,
878,15832,4666,8/25/2008 21:29,0,0,512895,2,0,
878,16905,22669,9/5/2008 20:14,10486,0,513159,2,1,supported
878,18107,9619,9/15/2008 14:20,0,0,513226,10,1,
878,22991,4219,10/20/2008 6:50,0,0,513250,5,1,
878,26533,20083,11/20/2008 2:35,0,0,513350,2,1,
878,27533,9204,12/2/2008 20:46,0,0,512995,1,0,
878,28388,25419,12/13/2008 17:33,15093,0,512974,2,1,disputed
878,28501,20796,12/15/2008 5:57,0,0,513351,2,1,
878,28903,3327,12/17/2008 12:53,0,0,513352,2,1,
878,28906,19749,12/17/2008 13:47,0,0,513288,3,1,
878,28947,26420,12/17/2008 20:06,3557,0,513151,1,1,disputed
878,30475,21084,1/8/2009 22:02,3645,0,513138,1,0,disputed
878,31396,27894,1/18/2009 16:48,0,0,512893,3,0,
878,31706,17527,1/22/2009 0:11,4242,0,513230,5,0,disputed
878,33979,7273,2/11/2009 10:39,27533,0,513001,5,1,disputed
878,34019,18692,2/11/2009 20:22,33979,0,513002,7,0,disputed
878,34024,3085,2/11/2009 20:53,0,0,513289,3,1,
878,34028,5571,2/11/2009 22:07,0,0,513251,5,1,
878,34029,5571,2/11/2009 22:13,31706,0,513231,7,1,disputed
878,34105,17527,2/12/2009 18:08,34029,0,513232,2,1,supported
878,34109,28608,2/12/2009 18:38,28388,0,512975,4,0,disputed
878,34144,5571,2/12/2009 21:27,34105,0,513233,1,1,supported
878,34171,6213,2/13/2009 1:36,0,0,513290,3,1,
878,34172,6213,2/13/2009 1:38,5796,0,513164,1,1,disputed
878,34174,6213,2/13/2009 1:43,3623,0,513223,5,0,disputed
878,34175,6213,2/13/2009 1:46,33979,0,513007,4,0,disputed
878,34176,17840,2/13/2009 4:23,34019,0,513003,1,1,disputed
878,34212,18692,2/13/2009 18:41,34176,0,513004,2,0,disputed
878,34222,10906,2/13/2009 19:32,0,0,513248,6,1,
878,34223,10906,2/13/2009 19:33,34222,0,513249,3,1,supported
878,34225,10906,2/13/2009 19:34,5796,0,513165,1,1,disputed
878,34343,19809,2/14/2009 21:25,0,0,513291,3,1,
878,36022,14313,2/27/2009 19:28,0,0,513023,1,0,
878,36693,20922,3/5/2009 2:33,0,0,513024,1,0,
878,38524,19509,3/18/2009 8:53,27533,0,512996,11,1,disputed
878,39026,18924,3/21/2009 22:11,27533,0,513011,4,1,disputed
878,39796,19804,3/27/2009 17:22,0,0,513292,3,1,
878,39997,26316,3/29/2009 20:45,0,0,513353,2,1,
878,40000,2140,3/29/2009 20:57,0,0,513491,1,1,
878,40126,26071,3/31/2009 7:00,27533,0,512999,9,1,disputed
878,40487,16668,4/2/2009 6:59,0,0,513354,2,1,
878,40756,23602,4/4/2009 20:13,34019,0,513005,1,1,disputed
878,40757,23602,4/4/2009 20:20,10247,0,513145,1,1,disputed
878,42245,9224,4/14/2009 23:43,27533,0,513014,3,1,disputed
878,43717,25163,4/22/2009 19:22,3963,0,513338,4,1,disputed
878,44335,23887,4/25/2009 16:18,38524,0,512997,7,1,supported
878,44336,23887,4/25/2009 16:20,40126,0,513000,4,1,supported
878,44337,7305,4/25/2009 16:22,0,0,513294,3,1,
878,47664,14147,5/14/2009 8:54,0,0,513295,3,8,
878,48203,14931,5/18/2009 4:40,0,0,513357,2,1,
878,50217,22427,5/29/2009 13:35,0,0,513296,3,1,
878,50218,22427,5/29/2009 13:37,27533,0,513015,2,1,disputed
878,52794,11164,6/18/2009 12:39,0,0,513297,3,1,
878,57773,1808,7/29/2009 14:31,0,0,513298,3,1,
878,58714,21752,8/5/2009 14:58,27533,0,513008,5,1,disputed
878,61094,12649,8/19/2009 10:41,0,0,513358,2,1,
878,69253,26212,10/14/2009 17:04,27533,0,513012,4,1,disputed
878,69256,26212,10/14/2009 17:21,34109,0,512976,1,1,disputed
878,69264,28608,10/14/2009 18:33,69256,0,512977,1,0,disputed
878,70178,27887,10/20/2009 19:10,0,0,512896,2,0,
878,70187,19809,10/20/2009 20:15,0,0,513299,3,1,
878,70189,19568,10/20/2009 20:41,0,0,513359,2,1,
878,70308,24429,10/21/2009 19:59,0,0,513133,-1,0,
878,70865,547,10/26/2009 18:32,0,0,513028,1,0,
878,71152,9609,10/29/2009 11:14,0,0,513228,9,1,
878,71153,9609,10/29/2009 11:23,15093,0,512972,3,1,disputed
878,71154,9609,10/29/2009 11:25,0,0,513253,5,1,
878,71157,9609,10/29/2009 11:31,36693,0,513025,4,1,disputed
878,71251,118,10/29/2009 15:48,0,0,512902,2,0,
878,71253,17387,10/29/2009 15:56,0,0,513122,0,0,
878,71261,17718,10/29/2009 16:35,0,0,513492,1,6,
878,72313,9609,11/4/2009 19:22,34109,0,512979,1,1,disputed
878,72554,24614,11/5/2009 20:52,0,0,513300,3,1,
878,73340,20902,11/10/2009 5:14,0,0,512932,2,0,
878,74263,8448,11/15/2009 14:04,3557,0,513152,1,1,disputed
878,74407,18315,11/16/2009 6:54,0,0,513310,3,1,
878,74637,27887,11/16/2009 20:14,0,0,513029,1,0,
878,74641,27887,11/16/2009 20:19,72554,0,513301,1,0,disputed
878,74645,24614,11/16/2009 20:53,74641,0,513302,2,1,disputed
878,74940,27887,11/17/2009 14:50,74645,0,513303,1,0,disputed
878,76053,27887,11/25/2009 8:44,0,0,512934,2,0,
878,76659,26010,12/1/2009 12:44,27533,0,513018,2,1,disputed
878,76660,26010,12/1/2009 12:49,44335,0,512998,1,1,supported
878,76859,26010,12/2/2009 18:45,36693,0,513026,1,1,disputed
878,76860,26010,12/2/2009 18:47,71253,0,513123,0,1,disputed
878,77429,19582,12/5/2009 21:23,69253,0,513013,2,1,supported
878,77432,19582,12/5/2009 22:16,0,0,513311,3,1,
878,77446,19441,12/6/2009 0:11,0,0,513312,3,6,
878,78966,28684,12/15/2009 21:46,0,0,513360,2,1,
878,78968,19950,12/15/2009 22:03,0,0,513361,2,1,
878,78990,19749,12/16/2009 0:23,0,0,513254,5,1,
878,78991,15875,12/16/2009 1:20,78990,0,513255,4,1,supported
878,79011,19749,12/16/2009 7:47,78991,0,513256,4,1,supported
878,79995,3092,12/20/2009 21:28,0,0,513263,5,1,
878,84479,28535,1/25/2010 18:48,5793,0,512891,0,1,disputed
878,84487,27600,1/25/2010 19:08,0,0,513362,2,1,
878,84498,28535,1/25/2010 19:37,73340,0,512933,1,1,disputed
878,84499,28535,1/25/2010 19:38,5792,0,512965,2,1,disputed
878,84500,28535,1/25/2010 19:39,5350,0,513156,2,1,disputed
878,84514,28535,1/25/2010 21:25,10251,0,513210,9,1,supported
878,84689,1878,1/26/2010 18:54,71251,0,512919,2,1,disputed
878,84692,1878,1/26/2010 19:46,3905,0,512959,3,1,disputed
878,84946,27680,1/28/2010 3:16,71251,0,512903,5,2,disputed
878,84949,27680,1/28/2010 3:31,74263,0,513153,3,1,supported
878,86476,28034,2/4/2010 13:49,0,0,513363,2,1,
878,86480,27592,2/4/2010 14:12,0,0,513364,2,1,
878,86482,11891,2/4/2010 14:15,0,0,513365,2,8,
878,86493,11912,2/4/2010 15:04,0,0,513366,2,1,
878,88376,24247,2/10/2010 8:56,0,0,513313,3,1,
878,91322,9567,2/22/2010 17:58,4010,0,513280,1,0,disputed
878,91330,20757,2/22/2010 19:02,3663,0,513172,9,5,disputed
878,92105,20575,2/25/2010 22:21,71251,0,512904,5,1,disputed
878,92107,20575,2/25/2010 22:44,0,0,513368,2,1,
878,92112,9620,2/25/2010 23:03,0,0,513369,2,1,
878,92205,1985,2/26/2010 11:37,0,0,513314,3,1,
878,93593,15842,3/4/2010 18:24,0,0,513371,2,1,
878,95538,22386,3/15/2010 16:10,0,0,513372,2,9,
878,95549,7703,3/15/2010 17:31,0,0,513373,2,1,
878,96206,27384,3/17/2010 12:12,0,0,513315,3,1,
878,97149,5035,3/22/2010 20:09,0,0,513320,3,1,
878,97151,5035,3/22/2010 20:23,70178,0,512897,2,1,disputed
878,102339,6395,4/12/2010 21:57,0,0,513264,5,7,
878,103613,2380,4/20/2010 10:39,0,0,513030,1,0,
878,104026,13353,4/21/2010 10:05,0,0,513321,3,1,
878,107025,18740,5/4/2010 10:29,3663,0,513192,4,0,disputed
878,107026,18740,5/4/2010 10:31,15093,0,512987,2,1,disputed
878,107028,18740,5/4/2010 10:32,71153,0,512973,1,0,disputed
878,107029,18740,5/4/2010 10:34,50218,0,513016,2,0,disputed
878,107030,18740,5/4/2010 10:34,7433,0,513244,1,0,disputed
878,107642,18740,5/6/2010 10:25,91330,0,513173,6,1,disputed
878,109254,11088,5/13/2010 10:59,0,0,513032,1,0,
878,109256,11088,5/13/2010 11:05,0,0,513033,1,0,
878,109257,11003,5/13/2010 11:05,0,0,513267,5,1,
878,109258,11003,5/13/2010 11:07,0,0,513034,1,0,
878,109259,11088,5/13/2010 11:09,0,0,513036,1,0,
878,109260,11088,5/13/2010 11:16,3805,0,513188,1,0,disputed
878,109261,11088,5/13/2010 11:20,71251,0,512918,3,0,supported
878,109263,11088,5/13/2010 11:22,4010,0,513282,-2,0,disputed
878,110905,27907,5/19/2010 23:09,0,0,513037,1,0,
878,110906,27907,5/19/2010 23:12,92105,0,512905,0,0,disputed
878,111426,16537,5/22/2010 0:12,0,0,513374,2,1,
878,111430,16537,5/22/2010 0:26,3563,0,513169,2,1,disputed
878,112241,13961,5/25/2010 17:09,0,0,513124,0,0,
878,112266,5035,5/25/2010 19:45,110906,0,512906,2,1,disputed
878,112269,5035,5/25/2010 19:50,91330,0,513174,6,1,disputed
878,112271,5035,5/25/2010 19:56,15093,0,512988,2,1,disputed
878,112273,5035,5/25/2010 20:03,107029,0,513017,1,1,disputed
878,112275,1585,5/25/2010 20:06,0,0,512937,2,0,
878,112372,27898,5/26/2010 10:21,0,0,513038,1,0,
878,114277,5175,6/4/2010 11:30,0,0,513375,2,1,
878,114375,16417,6/4/2010 21:23,84692,0,512960,3,1,supported
878,114843,8847,6/6/2010 22:42,0,0,513322,3,1,
878,116224,9377,6/15/2010 5:48,0,0,513378,2,1,
878,116225,16200,6/15/2010 5:50,0,0,513394,2,1,
878,116226,16200,6/15/2010 5:51,116224,0,513379,2,0,disputed
878,116227,9377,6/15/2010 5:52,116225,0,513395,2,0,disputed
878,116228,16200,6/15/2010 5:53,114277,0,513376,2,0,disputed
878,116229,9377,6/15/2010 5:54,116226,0,513380,2,1,disputed
878,116230,16200,6/15/2010 5:55,109257,0,513268,4,0,disputed
878,116231,16200,6/15/2010 5:57,116229,0,513381,2,0,disputed
878,116232,9377,6/15/2010 5:58,116231,0,513382,2,1,disputed
878,116233,16200,6/15/2010 5:58,3663,0,513195,4,0,disputed
878,116234,16200,6/15/2010 6:00,116232,0,513383,1,0,disputed
878,116235,9377,6/15/2010 6:04,116234,0,513384,2,1,disputed
878,116236,16200,6/15/2010 6:05,116235,0,513385,1,0,disputed
878,116238,9377,6/15/2010 6:07,116236,0,513386,1,1,disputed
878,116239,16200,6/15/2010 6:09,116238,0,513387,2,0,disputed
878,116241,9377,6/15/2010 6:13,116239,0,513388,1,1,disputed
878,116242,16200,6/15/2010 6:15,116241,0,513389,1,0,disputed
878,116243,9377,6/15/2010 6:18,116242,0,513390,1,1,disputed
878,116245,16200,6/15/2010 6:20,116243,0,513391,1,0,disputed
878,116246,16200,6/15/2010 6:22,0,0,513039,1,0,
878,116247,9377,6/15/2010 6:23,116245,0,513392,1,1,disputed
878,116248,16200,6/15/2010 6:24,40487,0,513355,0,0,disputed
878,116255,9939,6/15/2010 7:14,0,0,513323,3,1,
